generation,best_fitness,avg_fitness,best_params,timestamp
1,0.7239847108632325,0.20526973972603266,"{'sma_period': 97.95825814105066, 'momentum_period': 90.99895685666868, 'atr_period': 72.23696766390083, 'atr_multiplier': 2.9265801416153714, 'bb_period': 37.21814093790219, 'bb_dev': 1.213301230374173, 'pyramid_pct': 0.016714207371143062, 'profit_target_pct': 0.45345346746329573, 'position_size': 0.5866023152582983, 'max_pyramids': 1.926215785350955}",2025-06-28T12:04:25.668030
2,0.7311298972338256,0.439645341714238,"{'sma_period': 114.19579697338776, 'momentum_period': 98.42685541113158, 'atr_period': 67.56335154700243, 'atr_multiplier': 2.7138902564836846, 'bb_period': 40, 'bb_dev': 1.0667826426093348, 'pyramid_pct': 0.017416111642310942, 'profit_target_pct': 0.33002871768640174, 'position_size': 0.7579406738592412, 'max_pyramids': 1.8621671609271293}",2025-06-28T12:04:30.115521
3,0.7567358880243902,0.44313978891540823,"{'sma_period': 93.86773145301242, 'momentum_period': 37.86650280247417, 'atr_period': 86.90068141960165, 'atr_multiplier': 2.865171300398894, 'bb_period': 32.56569800974132, 'bb_dev': 1.372344654634604, 'pyramid_pct': 0.020583080500324293, 'profit_target_pct': 0.402312870166075, 'position_size': 0.972009390281312, 'max_pyramids': 2.0261664193510067}",2025-06-28T12:04:34.563031
4,1.0155538169985614,0.5513708244569362,"{'sma_period': 87.43736142567266, 'momentum_period': 90.87210587294766, 'atr_period': 60.64205409567532, 'atr_multiplier': 2.838714803548027, 'bb_period': 37.43619038184046, 'bb_dev': 1.7741148998223346, 'pyramid_pct': 0.03130596302584865, 'profit_target_pct': 0.327303132317493, 'position_size': 0.8062396262029706, 'max_pyramids': 1.9432952861774786}",2025-06-28T12:04:39.018505
5,0.8930903423819188,0.5334039970890857,"{'sma_period': 101.74089262102264, 'momentum_period': 58.29313199996573, 'atr_period': 85.3737738524573, 'atr_multiplier': 1.345528020849037, 'bb_period': 35.468722462635476, 'bb_dev': 1.0, 'pyramid_pct': 0.02661647472409147, 'profit_target_pct': 0.31106137631273734, 'position_size': 0.8078236833408637, 'max_pyramids': 3.024573503461032}",2025-06-28T12:04:43.462308
6,0.9625963913893538,0.5204722902324846,"{'sma_period': 99.04790520982434, 'momentum_period': 116.28339520137581, 'atr_period': 58.9577125617705, 'atr_multiplier': 3.840275646722204, 'bb_period': 36.35198434922385, 'bb_dev': 1.5266345841636224, 'pyramid_pct': 0.028045026485989697, 'profit_target_pct': 0.4409180271439397, 'position_size': 0.9195838098587196, 'max_pyramids': 1.3297203115523133}",2025-06-28T12:04:47.932198
7,1.0008351385605958,0.5805910275573357,"{'sma_period': 111.59164951111734, 'momentum_period': 102.41083928603284, 'atr_period': 135.80127162129043, 'atr_multiplier': 2.480398796977962, 'bb_period': 40, 'bb_dev': 1.277201793946898, 'pyramid_pct': 0.029844916442987375, 'profit_target_pct': 0.4318485398459883, 'position_size': 0.9614459641864342, 'max_pyramids': 1.520928525100408}",2025-06-28T12:04:52.419470
8,1.1915056783975215,0.5064521893706005,"{'sma_period': 83.5148338044733, 'momentum_period': 43.73519251146782, 'atr_period': 95.56333453770681, 'atr_multiplier': 2.3912450011140747, 'bb_period': 37.62635490558911, 'bb_dev': 1.852533539189828, 'pyramid_pct': 0.0275435275371775, 'profit_target_pct': 0.3524346211484552, 'position_size': 0.8815275270092202, 'max_pyramids': 2.1905809776405847}",2025-06-28T12:04:56.891457
9,1.0848766868552728,0.5485900745830063,"{'sma_period': 102.02886695764059, 'momentum_period': 69.55599527729494, 'atr_period': 75.1137288721338, 'atr_multiplier': 3.424956069403073, 'bb_period': 35.743698609274695, 'bb_dev': 2.0103368436045788, 'pyramid_pct': 0.030789655915329738, 'profit_target_pct': 0.5, 'position_size': 0.9826082851116547, 'max_pyramids': 3.5350006503351294}",2025-06-28T12:05:01.328072
10,1.1522830023479527,0.5556151301443083,"{'sma_period': 87.1646508626933, 'momentum_period': 25.73981009054576, 'atr_period': 40.449645357339776, 'atr_multiplier': 3.634431753777926, 'bb_period': 36.19843543190641, 'bb_dev': 1.8629046143603067, 'pyramid_pct': 0.037761551127364915, 'profit_target_pct': 0.4943725037780497, 'position_size': 0.8313242411185277, 'max_pyramids': 3.791776309372658}",2025-06-28T12:05:05.763703
11,1.103628870271706,0.5978546565217101,"{'sma_period': 88.72692930059435, 'momentum_period': 75.93449935211208, 'atr_period': 95.28415844951355, 'atr_multiplier': 3.7417661435599987, 'bb_period': 36.871183349778505, 'bb_dev': 1.9761411397307227, 'pyramid_pct': 0.016117223268514346, 'profit_target_pct': 0.5, 'position_size': 0.7703578436309059, 'max_pyramids': 3.2018082396089906}",2025-06-28T12:05:10.231689
12,1.021844143089614,0.5343017573022335,"{'sma_period': 89.61635553203523, 'momentum_period': 136.33283780098628, 'atr_period': 52.78016265768178, 'atr_multiplier': 3.2211598570105933, 'bb_period': 38.26394672388762, 'bb_dev': 1.8732531443233784, 'pyramid_pct': 0.039074106665500055, 'profit_target_pct': 0.46668329830017585, 'position_size': 0.6322789584897617, 'max_pyramids': 4.194943501965492}",2025-06-28T12:05:14.720232
13,1.1218240187133128,0.6020824543620205,"{'sma_period': 84.5583116685206, 'momentum_period': 113.35968983000971, 'atr_period': 54.78229714693773, 'atr_multiplier': 3.9756923092706407, 'bb_period': 37.88253716100569, 'bb_dev': 1.8385371219219975, 'pyramid_pct': 0.044451168611798, 'profit_target_pct': 0.44579325078979726, 'position_size': 0.8044638753415319, 'max_pyramids': 3.8975963502152977}",2025-06-28T12:05:19.145495
14,1.1369873151331302,0.5199936435759526,"{'sma_period': 89.89654963747819, 'momentum_period': 146.43834187523126, 'atr_period': 53.853488227644895, 'atr_multiplier': 3.6078359002855658, 'bb_period': 37.37667885173364, 'bb_dev': 1.845557241602353, 'pyramid_pct': 0.04870023853711232, 'profit_target_pct': 0.46109652493490866, 'position_size': 0.7275537638863226, 'max_pyramids': 3.419654104088886}",2025-06-28T12:05:23.572750
15,1.0279773882970975,0.4807377429516949,"{'sma_period': 102.87938625430834, 'momentum_period': 120.91930879346498, 'atr_period': 66.9224683856589, 'atr_multiplier': 2.7958951851531584, 'bb_period': 36.926659792657425, 'bb_dev': 2.053049873752283, 'pyramid_pct': 0.016407250284715364, 'profit_target_pct': 0.46927170984881444, 'position_size': 0.8457202279676197, 'max_pyramids': 3.3900411966015334}",2025-06-28T12:05:28.010916
16,1.0422810329153,0.6029743206747715,"{'sma_period': 105.51352020900165, 'momentum_period': 87.78570283663814, 'atr_period': 67.36851038044017, 'atr_multiplier': 3.7382710784113318, 'bb_period': 37.619683276607425, 'bb_dev': 1.9134444579938648, 'pyramid_pct': 0.014736202094718057, 'profit_target_pct': 0.4473356421206752, 'position_size': 0.7653561317850132, 'max_pyramids': 1.9103734949442441}",2025-06-28T12:05:32.451170
17,1.1260096742743104,0.5233743251215913,"{'sma_period': 87.60095236968773, 'momentum_period': 157.59834635029503, 'atr_period': 84.63201483893249, 'atr_multiplier': 3.562315024926058, 'bb_period': 37.42657848999039, 'bb_dev': 1.9784500862383845, 'pyramid_pct': 0.031178609900695795, 'profit_target_pct': 0.5, 'position_size': 0.8280954638165596, 'max_pyramids': 2.368208596847732}",2025-06-28T12:05:37.032003
18,1.137176917435557,0.5547967210512144,"{'sma_period': 90.2158505636358, 'momentum_period': 156.902841932053, 'atr_period': 78.02339404864787, 'atr_multiplier': 2.9498167635395998, 'bb_period': 37.12413796616475, 'bb_dev': 1.801957040181077, 'pyramid_pct': 0.04038232968327598, 'profit_target_pct': 0.5, 'position_size': 0.8571203000751184, 'max_pyramids': 2.6740653474660534}",2025-06-28T12:05:41.445574
19,1.086412988091645,0.6294671548806964,"{'sma_period': 85.38349265769008, 'momentum_period': 157.29864909519495, 'atr_period': 96.90892911133429, 'atr_multiplier': 3.676851852724687, 'bb_period': 35.080906028251384, 'bb_dev': 1.8018077902226168, 'pyramid_pct': 0.012380822330048185, 'profit_target_pct': 0.5, 'position_size': 0.7879110831439854, 'max_pyramids': 3.29140208875808}",2025-06-28T12:05:45.858718
20,1.1249835626013958,0.5666123299936957,"{'sma_period': 101.43832637597133, 'momentum_period': 132.35453891266488, 'atr_period': 68.81882500012294, 'atr_multiplier': 3.3153149623560383, 'bb_period': 38.04011632250516, 'bb_dev': 1.880177651550679, 'pyramid_pct': 0.016356203049584996, 'profit_target_pct': 0.44155161176943314, 'position_size': 0.9185099626550038, 'max_pyramids': 3.2987380901095946}",2025-06-28T12:05:50.339944
21,1.0645262077734647,0.5050543018466697,"{'sma_period': 118.90575597819034, 'momentum_period': 180, 'atr_period': 50.58309293146859, 'atr_multiplier': 4.0, 'bb_period': 37.86061213038972, 'bb_dev': 2.012467828788064, 'pyramid_pct': 0.016707609286841528, 'profit_target_pct': 0.431317829730684, 'position_size': 0.8494605287634396, 'max_pyramids': 2.9281790629436983}",2025-06-28T12:05:54.764110
22,1.0094419355972588,0.48732835304581,"{'sma_period': 99.70016485101088, 'momentum_period': 180, 'atr_period': 48.05519407204066, 'atr_multiplier': 3.5403780320648566, 'bb_period': 35.54578937671794, 'bb_dev': 1.7661636002117946, 'pyramid_pct': 0.017146778266479326, 'profit_target_pct': 0.5, 'position_size': 0.8669923866679206, 'max_pyramids': 2.295517700443474}",2025-06-28T12:05:59.182272
23,0.9322803085682971,0.4830532696955992,"{'sma_period': 84.72762724184594, 'momentum_period': 155.91326802846868, 'atr_period': 82.9558196182166, 'atr_multiplier': 3.1681318725052487, 'bb_period': 38.50854442072279, 'bb_dev': 1.7282696156160358, 'pyramid_pct': 0.01178962592239234, 'profit_target_pct': 0.5, 'position_size': 0.9782560615351849, 'max_pyramids': 2.634442267382637}",2025-06-28T12:06:03.634728
24,0.9273057996040569,0.4573589382490077,"{'sma_period': 84.01899221638881, 'momentum_period': 159.12593713049714, 'atr_period': 72.16120330355258, 'atr_multiplier': 2.9715283536350516, 'bb_period': 35.449705693401974, 'bb_dev': 1.5703604302992682, 'pyramid_pct': 0.01, 'profit_target_pct': 0.45029395952656104, 'position_size': 0.75650112336693, 'max_pyramids': 2.7459003199988925}",2025-06-28T12:06:08.100542
25,1.1237505420577538,0.4863768019567714,"{'sma_period': 86.89798549877733, 'momentum_period': 145.99727848665586, 'atr_period': 98.01475312870063, 'atr_multiplier': 3.6578902173505226, 'bb_period': 37.72392049285974, 'bb_dev': 1.8256201358855717, 'pyramid_pct': 0.0346404076928682, 'profit_target_pct': 0.34671433522564504, 'position_size': 0.8161868135901782, 'max_pyramids': 2.6342594196587563}",2025-06-28T12:06:12.559089
26,1.16097068678071,0.42195994318380436,"{'sma_period': 90.13445871740255, 'momentum_period': 138.41174170878466, 'atr_period': 32.27384820913804, 'atr_multiplier': 2.9117810441191945, 'bb_period': 38.352190102487555, 'bb_dev': 1.8075520516932477, 'pyramid_pct': 0.01890730675528095, 'profit_target_pct': 0.4952098770130481, 'position_size': 0.9209957989312976, 'max_pyramids': 3.5758430129969674}",2025-06-28T12:06:16.987055
27,0.9913918020427503,0.569288953773541,"{'sma_period': 104.26540814261273, 'momentum_period': 176.62517477504005, 'atr_period': 67.50365504261713, 'atr_multiplier': 3.113577104374658, 'bb_period': 35.72065565573713, 'bb_dev': 1.9081898391263084, 'pyramid_pct': 0.03225148150911171, 'profit_target_pct': 0.4646616810655806, 'position_size': 0.7631267373007572, 'max_pyramids': 3.3356094893927737}",2025-06-28T12:06:21.423695
28,0.9349213223998089,0.5038857654504931,"{'sma_period': 87.95180078303804, 'momentum_period': 169.28797778253286, 'atr_period': 74.60584758320975, 'atr_multiplier': 3.7279400200249606, 'bb_period': 30.304668700062546, 'bb_dev': 2.0676750952658383, 'pyramid_pct': 0.01, 'profit_target_pct': 0.3917060583900215, 'position_size': 0.8027345235394118, 'max_pyramids': 4.4619278027643885}",2025-06-28T12:06:25.859420
29,0.9161730356589798,0.5776754297370764,"{'sma_period': 114.23972997519684, 'momentum_period': 172.59786777791436, 'atr_period': 48.615235654246646, 'atr_multiplier': 3.264541569564615, 'bb_period': 34.58062574668487, 'bb_dev': 1.978615656747612, 'pyramid_pct': 0.021015627989472145, 'profit_target_pct': 0.5, 'position_size': 0.7515911403810197, 'max_pyramids': 4.6862703731207365}",2025-06-28T12:06:30.311776
30,1.1230270651543395,0.6161902908204279,"{'sma_period': 103.95553827702096, 'momentum_period': 158.21890619191274, 'atr_period': 34.304169880728445, 'atr_multiplier': 3.45302566922364, 'bb_period': 38.348151441010096, 'bb_dev': 1.886102742934975, 'pyramid_pct': 0.010634672372870916, 'profit_target_pct': 0.4221539307241808, 'position_size': 0.8361298036920184, 'max_pyramids': 3.6645616902439158}",2025-06-28T12:06:34.800064
31,1.0873632319460103,0.5623565878677904,"{'sma_period': 110.16606347867888, 'momentum_period': 172.29699739545356, 'atr_period': 72.66783810176094, 'atr_multiplier': 3.1586066800894774, 'bb_period': 35.2552145181304, 'bb_dev': 1.9053581367695, 'pyramid_pct': 0.01, 'profit_target_pct': 0.44804958491146735, 'position_size': 0.914020009660108, 'max_pyramids': 4.564137413064273}",2025-06-28T12:06:39.271678
32,1.0723980837777523,0.5072475215577239,"{'sma_period': 83.19260762608016, 'momentum_period': 172.32871869169566, 'atr_period': 85.80221605257621, 'atr_multiplier': 4.0, 'bb_period': 36.11711773444611, 'bb_dev': 1.9978761601921289, 'pyramid_pct': 0.030767864987770475, 'profit_target_pct': 0.44045707281137014, 'position_size': 0.7592846310985544, 'max_pyramids': 4.30300312951039}",2025-06-28T12:06:43.691605
33,1.0876500069162185,0.6161452896392886,"{'sma_period': 110.77960094145102, 'momentum_period': 171.83006707166916, 'atr_period': 25.555959323780485, 'atr_multiplier': 4.0, 'bb_period': 36.269886250781006, 'bb_dev': 1.8246724483298087, 'pyramid_pct': 0.01591461449984184, 'profit_target_pct': 0.4235818387711865, 'position_size': 0.8749856410454215, 'max_pyramids': 3.5023624415181764}",2025-06-28T12:06:48.115361
34,1.0314916712238986,0.521210186385301,"{'sma_period': 97.62712706411574, 'momentum_period': 75.44533388039781, 'atr_period': 37.65145257944174, 'atr_multiplier': 3.6173317063063006, 'bb_period': 32.33240871932364, 'bb_dev': 2.1493447179047567, 'pyramid_pct': 0.01, 'profit_target_pct': 0.4408589044706954, 'position_size': 0.8210685533023129, 'max_pyramids': 4.296204083982035}",2025-06-28T12:06:52.558720
35,1.0268667801503075,0.49152278155178913,"{'sma_period': 111.81997191088482, 'momentum_period': 89.32662100753411, 'atr_period': 22.037421160481173, 'atr_multiplier': 4.0, 'bb_period': 35.15357751652166, 'bb_dev': 2.100825229783582, 'pyramid_pct': 0.014062304143273608, 'profit_target_pct': 0.45079795942168227, 'position_size': 0.7750770838411752, 'max_pyramids': 3.9894390886447444}",2025-06-28T12:06:57.004539
36,1.1591750313414448,0.5305979497586343,"{'sma_period': 86.86349351022538, 'momentum_period': 154.99201543483, 'atr_period': 49.02956391537998, 'atr_multiplier': 3.6102574646797265, 'bb_period': 38.016014738785444, 'bb_dev': 1.8743452001258452, 'pyramid_pct': 0.010970144225094743, 'profit_target_pct': 0.4599628782865384, 'position_size': 0.8065824641418821, 'max_pyramids': 4.764490825177961}",2025-06-28T12:07:01.469337
37,1.1732852000044567,0.5863030784050652,"{'sma_period': 89.6584434841047, 'momentum_period': 132.2745767307469, 'atr_period': 38.71947601514062, 'atr_multiplier': 2.844438818337597, 'bb_period': 34.868782627601135, 'bb_dev': 2.0860705635451553, 'pyramid_pct': 0.01, 'profit_target_pct': 0.4691875440514874, 'position_size': 0.9197886097756945, 'max_pyramids': 4.235249740475888}",2025-06-28T12:07:05.895271
38,1.2026233768585044,0.6126334112123142,"{'sma_period': 89.97455169631105, 'momentum_period': 180, 'atr_period': 20, 'atr_multiplier': 3.637269360910927, 'bb_period': 35.46259366378055, 'bb_dev': 1.9212134055766237, 'pyramid_pct': 0.011914103735503643, 'profit_target_pct': 0.39046477055072126, 'position_size': 0.951859128106124, 'max_pyramids': 4.940232395049175}",2025-06-28T12:07:10.351733
39,0.9769180801664603,0.5435499776849482,"{'sma_period': 95.3075466815481, 'momentum_period': 161.8261994573169, 'atr_period': 23.787915805272124, 'atr_multiplier': 2.681128327734424, 'bb_period': 38.735884740396884, 'bb_dev': 1.8327143860413178, 'pyramid_pct': 0.017647843117295815, 'profit_target_pct': 0.5, 'position_size': 0.7385397217537866, 'max_pyramids': 4.277647821426642}",2025-06-28T12:07:14.801708
40,0.9908670449592747,0.5317067215280443,"{'sma_period': 109.47933471594808, 'momentum_period': 180, 'atr_period': 46.98685249757893, 'atr_multiplier': 3.7704234949644935, 'bb_period': 34.09151998587892, 'bb_dev': 1.9829715210866534, 'pyramid_pct': 0.01589374345871735, 'profit_target_pct': 0.5, 'position_size': 0.9658427747080528, 'max_pyramids': 4.7782752658086105}",2025-06-28T12:07:19.271446
41,1.0645043645533572,0.5170905036334016,"{'sma_period': 98.6371454676522, 'momentum_period': 180, 'atr_period': 133.18283245289686, 'atr_multiplier': 3.6336700338252537, 'bb_period': 36.69280742205464, 'bb_dev': 1.9990635115728523, 'pyramid_pct': 0.0203390349413291, 'profit_target_pct': 0.47855268390716166, 'position_size': 0.9653980224446317, 'max_pyramids': 4.919139593412538}",2025-06-28T12:07:23.706038
42,1.2194226573371032,0.4999635400104844,"{'sma_period': 89.1944711914718, 'momentum_period': 180, 'atr_period': 39.10230877932938, 'atr_multiplier': 3.472096631529508, 'bb_period': 36.36198312425637, 'bb_dev': 2.039214805969485, 'pyramid_pct': 0.01218584629048406, 'profit_target_pct': 0.47919124171744093, 'position_size': 0.9758943095412863, 'max_pyramids': 5}",2025-06-28T12:07:28.134526
43,1.0692942597186625,0.45306506870015467,"{'sma_period': 117.10139662582313, 'momentum_period': 172.5947698740497, 'atr_period': 86.61532111881544, 'atr_multiplier': 3.8607719947655035, 'bb_period': 36.35671288294176, 'bb_dev': 1.8518633388437888, 'pyramid_pct': 0.020588503533870865, 'profit_target_pct': 0.42983793550007837, 'position_size': 0.8671999824737495, 'max_pyramids': 2.9781120799817766}",2025-06-28T12:07:32.549178
44,1.0817308782856623,0.4727741667473324,"{'sma_period': 117.96563865190633, 'momentum_period': 160.1147238124475, 'atr_period': 88.72616844868885, 'atr_multiplier': 3.4183141465161406, 'bb_period': 32.96973412410186, 'bb_dev': 2.089748861383445, 'pyramid_pct': 0.013940772500964154, 'profit_target_pct': 0.4400882807079201, 'position_size': 0.975100719757094, 'max_pyramids': 2.5477821744313776}",2025-06-28T12:07:36.976739
45,1.0128186801883063,0.5044829582480723,"{'sma_period': 100.83894175996909, 'momentum_period': 180, 'atr_period': 38.53114435837787, 'atr_multiplier': 4.0, 'bb_period': 36.09354956516439, 'bb_dev': 1.808795781363928, 'pyramid_pct': 0.01, 'profit_target_pct': 0.5, 'position_size': 0.8863086913551315, 'max_pyramids': 3.496655978282776}",2025-06-28T12:07:41.431517
46,0.968738477190023,0.5737414769841173,"{'sma_period': 84.186162718964, 'momentum_period': 178.6053440173601, 'atr_period': 47.69169318655386, 'atr_multiplier': 3.567984762879583, 'bb_period': 40, 'bb_dev': 1.3021275882525556, 'pyramid_pct': 0.01, 'profit_target_pct': 0.5, 'position_size': 0.9076517085557408, 'max_pyramids': 4.906835133904892}",2025-06-28T12:07:45.855187
47,1.0494883032028093,0.6443255474579341,"{'sma_period': 104.77728325972788, 'momentum_period': 147.9780957180629, 'atr_period': 20.274055019039874, 'atr_multiplier': 3.339176106787878, 'bb_period': 35.50840258156504, 'bb_dev': 1.788022680776504, 'pyramid_pct': 0.015662331902661045, 'profit_target_pct': 0.43544361947844146, 'position_size': 0.8276222999889576, 'max_pyramids': 4.882832831254086}",2025-06-28T12:07:50.295389
48,1.1802503225192846,0.5674367463363545,"{'sma_period': 87.41993700488756, 'momentum_period': 179.99365832982164, 'atr_period': 46.827676392249984, 'atr_multiplier': 2.55066195020083, 'bb_period': 35.30060743639693, 'bb_dev': 2.0793201708860916, 'pyramid_pct': 0.01473180911833501, 'profit_target_pct': 0.4717422392316748, 'position_size': 0.9218663558172191, 'max_pyramids': 2.8430985167679763}",2025-06-28T12:07:54.724804
49,1.1473250679863187,0.5813437923882712,"{'sma_period': 85.76786462355696, 'momentum_period': 153.7234464142919, 'atr_period': 41.87722579937467, 'atr_multiplier': 2.7198201542134632, 'bb_period': 37.6965332872526, 'bb_dev': 2.0067939359623304, 'pyramid_pct': 0.011653126065080548, 'profit_target_pct': 0.4482426130899001, 'position_size': 0.8280709075767145, 'max_pyramids': 4.034452764175184}",2025-06-28T12:07:59.154935
50,0.9705512660042894,0.530080146476071,"{'sma_period': 103.68220447143149, 'momentum_period': 152.84978935013604, 'atr_period': 70.21082127307074, 'atr_multiplier': 3.118579574209953, 'bb_period': 39.01071235184809, 'bb_dev': 1.7916316189223092, 'pyramid_pct': 0.021940473551909517, 'profit_target_pct': 0.4692343445963479, 'position_size': 0.8527569086261608, 'max_pyramids': 2.6057365825432663}",2025-06-28T12:08:03.606630
